model,coding,cpmi,launch,end,source
ibm-granite-h-small,1328.0,0.017,2025-10,,https://openrouter.ai/ibm-granite/granite-4.0-h-micro
gpt-oss-20b,1369.0,0.04,2025-08,,https://openrouter.ai/openai/gpt-oss-20b
glm-4.7-flash,1423.0,0.05,2026-01,,https://openrouter.ai/z-ai/glm-4.7-flash
gemma-4-26b-a4b,1480.0,0.06,2026-04,,https://openrouter.ai/google/gemma-4-26b-a4b-it
gemma-4-31b,1498.0,0.12,2026-04,,https://openrouter.ai/google/gemma-4-31b-it
kimi-k2.5-instant,1504.0,0.3,2026-01,,https://openrouter.ai/moonshotai/kimi-k2.5
qwen3.7-plus,1511.0,0.32,2026-06,,https://openrouter.ai/qwen/qwen3.7-plus
kimi-k2.6,1515.0,0.7448,2026-04,,https://openrouter.ai/moonshotai/kimi-k2.6
glm-5.1,1521.0,0.95,2026-04,,https://openrouter.ai/z-ai/glm-5.1
muse-spark-1.1,1532.0,1.25,2026-06?,,https://openrouter.ai/meta/muse-spark-1.1
claude-opus-4-7-thinking,1553.0,5.0,2026-04,2027-04-16,https://openrouter.ai/anthropic/claude-opus-4.7
